matrix_index,pitch_token_id
0,2066
1,2067
2,2068
3,2069
4,2070
5,2071
6,2072
7,2073
8,2074
9,2075
10,2076
11,2077
12,2078
13,2079
14,2341
15,2342
16,2343
17,2344
18,2345
19,2346
20,2347
21,2348
22,2349
23,2350
24,2351
25,2352
26,2353
27,2354
28,2355
29,2356
30,2357
31,2358
32,2359
33,2360
34,2361
35,2362
36,2363
37,2364
38,2365
39,2366
40,2367
41,2368
42,2369
43,2370
44,2371
45,2372
46,2373
47,2374
48,2375
49,2376
50,2377
51,2378
52,2379
53,2380
54,2381
55,2382
56,2383
57,2384
58,2385
59,2386
60,2387
61,2388
62,2389
63,2390
64,2391
65,2392
66,2393
67,2394
68,2395
69,2396
70,2397
71,2398
72,2399
73,2400
74,2401
75,2402
76,2403
77,2404
78,2405
79,2406
80,2407
81,2408
82,2409
83,2410
84,2411
85,2412
86,2413
87,2414
88,2415
89,2416
90,2417
91,2418
92,2419
93,2420
94,2421
95,2422
96,2423
97,2424
98,2425
99,2426
100,2427
101,2428
102,2429
103,2430
104,2431
105,2432
106,2433
107,2434
108,2435
109,2436
110,2437
111,2438
112,2439
113,2440
114,2441
115,2442
116,2443
117,2444
118,2445
119,2446
120,2447
121,2448
122,2449
123,2450
124,2451
125,2452
126,2453
127,2454
128,2455
129,2456
130,2457
131,2458
132,2459
133,2460
134,2461
135,2462
136,2463
137,2464
138,2465
139,2466
140,2467
141,2468
142,2469
143,2470
144,2471
145,2472
146,2473
147,2474
148,2475
149,2476
150,2477
151,2478
152,2479
153,2480
154,2481
155,2482
156,2483
157,2484
158,2485
159,2486
160,2487
161,2488
162,2489
163,2490
164,2491
165,2492
166,2493
167,2494
168,2495
169,2496
170,2497
171,2498
172,2499
173,2500
174,2501
175,2502
176,2503
177,2504
178,2505
179,2506
180,2507
181,2508
182,2509
183,2510
184,2511
185,2512
186,2513
187,2514
188,2515
189,2516
190,2517
191,2518
192,2519
193,2520
194,2521
195,2522
196,2523
197,2524
198,2525
199,2526
200,2527
201,2528
202,2529
203,2530
204,2531
205,2532
206,2533
207,2534
208,2535
209,2536
210,2537
211,2538
212,2539
213,2540
214,2541
215,2542
216,2543
217,2544
218,2545
219,2546
220,2547
221,2548
222,2549
223,2550
224,2551
225,2552
226,2553
227,2554
228,2555
229,2556
230,2557
231,2558
232,2559
233,2560
234,2561
235,2562
236,2563
237,2564
238,2565
239,2566
240,2567
241,2568
242,2569
243,2570
244,2571
245,2572
246,2573
247,2574
248,2575
249,2576
250,2577
251,2578
252,2579
253,2580
254,2581
255,2582
256,2583
257,2584
258,2585
259,2586
260,2587
261,2588
262,2589
263,2590
264,2591
265,2592
266,2593
267,2594
268,2595
269,2596
270,2597
271,2598
272,2599
273,2600
274,2601
275,2602
276,2603
277,2604
278,2605
279,2606
280,2607
281,2608
282,2609
283,2610
284,2611
285,2612
286,2613
287,2614
288,2615
289,2616
290,2617
291,2618
292,2619
293,2620
294,2621
